日期,应用名称,国家,渠道号,新用户,交易数,信息费,预计收入,日活跃用户数,次日留存用户数
2018-09-10,RaceJM,斯里兰卡,MUUU607,0,0,0.00,0.00,1,0
2018-09-10,DotaJM,乌兹别克斯坦,MUUUU553,0,0,0.00,0.00,1,0
2018-09-10,RaceJM,俄罗斯,MUUU607,1,0,0.00,0.00,12,0
2018-09-10,StarJM,几内亚比绍,MUUUU553,0,0,0.00,0.00,2,0
2018-09-10,Birds,孟加拉国,MUUUU571,3,0,0.00,0.00,20,0
2018-09-10,GunStrik,马来西亚,MUUU607,0,0,0.00,0.00,2,0
2018-09-10,AsokaRev,卢旺达,MUUU5751,1,0,0.00,0.00,2,0
2018-09-10,Apple,孟加拉国,MUUUU571,9,4,0.54,0.05,280,1
2018-09-10,"T Run",孟加拉国,MUUUU571,6,1,0.14,0.01,121,3
2018-09-10,RaceJM,埃塞俄比亚,MUUU556S,1,0,0.00,0.00,7,0
2018-09-10,Shoot,贝宁,MUUUU,0,0,0.00,0.00,2,0
2018-09-10,StarJM,巴基斯坦,MUUUU553,1,2,3.26,0.26,6,1
2018-09-10,RaceJM,科特迪瓦,MUUU558S,1,0,6.70,1.24,15,1
2018-09-10,Temple28,乌干达,MUUU1001,1,0,0.00,0.00,2,0
2018-09-10,SpRacing,多哥,MUUU5751,0,0,0.00,0.00,1,0
2018-09-10,FruitTH,巴西,MUUU556,0,0,0.00,0.00,3,0
2018-09-10,RaceJM,塞舌尔,MUUU607,0,0,0.00,0.00,1,0
2018-09-10,"T Run",乌兹别克斯坦,MUUUU571,0,0,0.00,0.00,2,0
2018-09-10,Stickman,多哥,MUUU575,0,0,0.00,0.00,1,0
2018-09-10,"T Run",喀麦隆,MUUU605,0,0,0.00,0.00,1,0
2018-09-10,Temple28,塞内加尔,MUUU1001,1,0,0.00,0.00,18,0
2018-09-10,Takedown,刚果民主共和国,MUUU607,1,0,0.00,0.00,3,0
2018-09-10,FruitTH,乌兹别克斯坦,MUUU556,1,0,0.00,0.00,4,0
2018-09-10,ZYAPAY,孟加拉国,MUU57403,0,0,0.00,0.00,1,0
2018-09-10,ball,博茨瓦纳,MUUU594,0,0,0.00,0.00,1,0
2018-09-10,ball,布隆迪,MUUU594,0,0,0.00,0.00,1,0
2018-09-10,DotaJM,巴基斯坦,MUUUU553,1,0,0.00,0.00,1,0
2018-09-10,RaceJM,波兰,MUUU556S,0,0,0.00,0.00,1,0
2018-09-10,RaceJM,阿尔及利亚,MUUU607,0,0,0.00,0.00,4,0
2018-09-10,MythWar,缅甸,MUUU594,2,0,0.00,0.00,16,0
2018-09-10,SpRacing,马里共和国,MUUU5751,1,0,0.00,0.00,1,0
2018-09-10,DeadTrig,孟加拉国,MUUU5753,0,1,0.08,0.02,27,1
2018-09-10,"Sea Saga",埃及,MUUUU,0,0,0.00,0.00,1,0
2018-09-10,RaceJM,土耳其,MUUU601,0,0,0.00,0.00,2,0
2018-09-10,AsokaRev,塞内加尔,MUUU1001,0,0,0.00,0.00,1,0
2018-09-10,Stickmen,尼日利亚,MUUU558S,0,0,0.00,0.00,3,0
2018-09-10,CTSniper,留尼汪,MUUU575,1,0,0.00,0.00,2,0
2018-09-10,StarJM,塞内加尔,MUUU607,0,0,0.00,0.00,1,0
2018-09-10,Hill3,巴基斯坦,MUUU617,0,0,0.00,0.00,1,0
2018-09-10,FruitTH,土耳其,MUUU556,0,0,0.00,0.00,1,0
2018-09-10,RaceJM,也门,MUUU601,0,0,0.00,0.00,4,0
2018-09-10,ball,莱索托,MUUU594,0,0,0.00,0.00,1,0
2018-09-10,RaceJM,古巴,MUUU607,2,0,0.00,0.00,3,0
2018-09-10,PopStarJ,中华人民共和国,MPOPJ001,0,0,0.00,0.00,1,0
2018-09-10,Juice,缅甸,MUUU607,0,0,0.00,0.00,2,0
2018-09-10,Apple,尼泊尔,MUUUU571,0,0,0.00,0.00,12,1
2018-09-10,FruitTH,利比里亚,MUUU575,0,0,0.00,0.00,2,1
2018-09-10,StarJM,纳米比亚,MUUU607,1,0,0.00,0.00,1,0
2018-09-10,MythWar,多哥,MUUUU571,0,0,0.00,0.00,2,0
2018-09-10,Stickmen,赤道几内亚,MUUU558S,0,0,0.00,0.00,2,0
2018-09-10,"T Run",莱索托,MUUUU571,0,0,0.00,0.00,1,0
2018-09-10,DotaJM,印度,MUUUU553,1,0,0.00,0.00,11,0
2018-09-10,"Sea Saga",印度尼西亚,MUUUU,0,0,0.00,0.00,1,0
2018-09-10,Takedown,喀麦隆,MUUU607,0,0,0.00,0.00,1,0
2018-09-10,PopStarJ,肯尼亚,MPOPJ001,0,0,0.00,0.00,1,0
2018-09-10,Hill3,马里共和国,MUUU609,0,0,0.00,0.00,1,0
2018-09-10,Apple,塔吉克斯坦,MUUU594,0,0,0.00,0.00,1,0
2018-09-10,Cricket,阿富汗,MUUU594,0,0,0.00,0.00,5,0
2018-09-10,FruitTH,几内亚,MUUU556,0,0,0.00,0.00,1,0
2018-09-10,ShootKG,南非,MUUUU571,0,0,0.00,0.00,1,0
2018-09-10,StarJM,乌兹别克斯坦,MUUUU553,0,0,0.00,0.00,1,0
2018-09-10,ZYAPAY,缅甸,MUU57403,0,0,0.00,0.00,1,1
2018-09-10,FruitTH,斯威士兰,MUUU556,0,0,0.00,0.00,1,0
2018-09-10,Shoot,肯尼亚,MUUUU527,0,0,0.00,0.00,1,0
2018-09-10,Hill3,菲律宾,MUUU609,1,0,0.00,0.00,4,0
2018-09-10,FruitTH,阿尔及利亚,MUUU556,0,0,0.00,0.00,3,0
2018-09-10,Backkom,利比亚,MUUU575,0,0,0.00,0.00,2,0
2018-09-10,FruitTH,意大利,MUUU575,0,0,0.00,0.00,1,0
2018-09-10,"Sea Saga",缅甸,MUUUU,2,0,0.00,0.00,7,0
2018-09-10,FruitTH,柬埔寨,MUUU556,0,0,0.00,0.00,1,0
2018-09-10,Racing3D,阿富汗,MUU58001,1,0,0.00,0.00,1,0
2018-09-10,ZYAPAY,印度,MUU57401,0,0,0.00,0.00,1,0
2018-09-10,Shoot,古巴,MUUUU,2,0,0.00,0.00,2,0
2018-09-10,SpRacing,乌干达,MUUU5751,0,0,0.00,0.00,1,0
2018-09-10,RaceJM,圣多美普林西比,MUUU558S,0,0,0.00,0.00,1,0
2018-09-10,RaceJM,伊拉克,MUUU601,0,0,0.00,0.00,4,0
2018-09-10,Hill3,阿尔及利亚,MUUU609,1,0,0.00,0.00,5,0
2018-09-10,Temple28,阿富汗,MUUU1001,1,0,0.00,0.00,8,0
2018-09-10,Shoot,秘鲁,MUUUU,0,0,0.00,0.00,1,0
2018-09-10,Stickmen,阿拉伯联合酋长国,MUUU558S,0,0,0.00,0.00,1,0
2018-09-10,iZuma,巴布亚新几内亚,MUUU601,0,0,0.00,0.00,1,0
2018-09-10,Temple28,马里共和国,MUUU1001,0,0,0.00,0.00,8,0
2018-09-10,CTSniper,贝宁,MUUU575,4,0,0.00,0.00,20,2
2018-09-10,JumpA,伊拉克,MUUU605,0,0,0.00,0.00,2,0
2018-09-10,Apple,巴布亚新几内亚,MUUUU571,0,0,0.00,0.00,1,0
2018-09-10,iZuma,孟加拉国,MUUU601,2,0,0.00,0.00,25,0
2018-09-10,StarJM,印度尼西亚,MUUU607,0,0,0.00,0.00,3,0
2018-09-10,RaceJM,玻利维亚,MUUU601,0,0,0.00,0.00,1,0
2018-09-10,Shoot,马达加斯加,MUUU5271,1,0,0.00,0.00,1,0
2018-09-10,Stickman,缅甸,MUUU575,0,1,0.24,0.07,3,1
